########################################
########################################
########################################
########################################
Epoch: 0, Devf1: 55.015511892450874, Acc: 98.49730551333425, DevSysf1: 91.57124279286018, DevUttcat_acc: 98.68345735546652
Epoch: 0, Devf1: 55.015511892450874, Acc: 98.49730551333425, DevSysf1: 91.57124279286018, DevUttcat_acc: 98.68345735546652
Epoch: 0, Devf1: 55.015511892450874, Acc: 98.49730551333425, DevSysf1: 91.57124279286018, DevUttcat_acc: 98.68345735546652
Epoch: 0, Devf1: 55.015511892450874, Acc: 98.49730551333425, DevSysf1: 91.57124279286018, DevUttcat_acc: 98.68345735546652
Epoch: 0, DevTestf1: 50.35376274924194, Acc: 98.02631578947368, DevTestSysf1: 93.20984045205823, DevTestUttcat_acc: 97.9556278313393
Epoch: 0, DevTestf1: 50.35376274924194, Acc: 98.02631578947368, DevTestSysf1: 93.20984045205823, DevTestUttcat_acc: 97.9556278313393
Epoch: 0, DevTestf1: 50.35376274924194, Acc: 98.02631578947368, DevTestSysf1: 93.20984045205823, DevTestUttcat_acc: 97.9556278313393
Epoch: 0, DevTestf1: 50.35376274924194, Acc: 98.02631578947368, DevTestSysf1: 93.20984045205823, DevTestUttcat_acc: 97.9556278313393
Epoch: 1, Devf1: 59.955074535429866, Acc: 98.64515683294182, DevSysf1: 93.27554442817326, DevUttcat_acc: 99.71379507727532
Epoch: 1, Devf1: 59.955074535429866, Acc: 98.64515683294182, DevSysf1: 93.27554442817326, DevUttcat_acc: 99.71379507727532
Epoch: 1, Devf1: 59.955074535429866, Acc: 98.64515683294182, DevSysf1: 93.27554442817326, DevUttcat_acc: 99.71379507727532
Epoch: 1, Devf1: 59.955074535429866, Acc: 98.64515683294182, DevSysf1: 93.27554442817326, DevUttcat_acc: 99.71379507727532
Epoch: 1, DevTestf1: 56.69831223628692, Acc: 98.2005610917911, DevTestSysf1: 93.49852985340438, DevTestUttcat_acc: 99.46567545591822
Epoch: 1, DevTestf1: 56.69831223628692, Acc: 98.2005610917911, DevTestSysf1: 93.49852985340438, DevTestUttcat_acc: 99.46567545591822
Epoch: 1, DevTestf1: 56.69831223628692, Acc: 98.2005610917911, DevTestSysf1: 93.49852985340438, DevTestUttcat_acc: 99.46567545591822
Epoch: 1, DevTestf1: 56.69831223628692, Acc: 98.2005610917911, DevTestSysf1: 93.49852985340438, DevTestUttcat_acc: 99.46567545591822
Epoch: 2, Devf1: 57.848101265822784, Acc: 98.61959375431809, DevSysf1: 93.2403471173102, DevUttcat_acc: 99.51345163136806
Epoch: 2, Devf1: 57.848101265822784, Acc: 98.61959375431809, DevSysf1: 93.2403471173102, DevUttcat_acc: 99.51345163136806
Epoch: 2, Devf1: 57.848101265822784, Acc: 98.61959375431809, DevSysf1: 93.2403471173102, DevUttcat_acc: 99.51345163136806
Epoch: 2, Devf1: 57.848101265822784, Acc: 98.61959375431809, DevSysf1: 93.2403471173102, DevUttcat_acc: 99.51345163136806
########################################
########################################
########################################
########################################
Epoch: 0, Devf1: 53.10152393217429, Acc: 98.49039657316567, DevSysf1: 91.59916360633271, DevUttcat_acc: 98.91242129364625
Epoch: 0, Devf1: 53.10152393217429, Acc: 98.49039657316567, DevSysf1: 91.59916360633271, DevUttcat_acc: 98.91242129364625
Epoch: 0, Devf1: 53.10152393217429, Acc: 98.49039657316567, DevSysf1: 91.59916360633271, DevUttcat_acc: 98.91242129364625
Epoch: 0, Devf1: 53.10152393217429, Acc: 98.49039657316567, DevSysf1: 91.59916360633271, DevUttcat_acc: 98.91242129364625
Epoch: 0, DevTestf1: 50.15679763881204, Acc: 98.02595049533885, DevTestSysf1: 92.79100875584567, DevTestUttcat_acc: 98.36217911487978
Epoch: 0, DevTestf1: 50.15679763881204, Acc: 98.02595049533885, DevTestSysf1: 92.79100875584567, DevTestUttcat_acc: 98.36217911487978
Epoch: 0, DevTestf1: 50.15679763881204, Acc: 98.02595049533885, DevTestSysf1: 92.79100875584567, DevTestUttcat_acc: 98.36217911487978
Epoch: 0, DevTestf1: 50.15679763881204, Acc: 98.02595049533885, DevTestSysf1: 92.79100875584567, DevTestUttcat_acc: 98.36217911487978
Epoch: 1, Devf1: 57.18543751330637, Acc: 98.61061213209894, DevSysf1: 92.50630059003174, DevUttcat_acc: 99.28448769318832
Epoch: 1, Devf1: 57.18543751330637, Acc: 98.61061213209894, DevSysf1: 92.50630059003174, DevUttcat_acc: 99.28448769318832
Epoch: 1, Devf1: 57.18543751330637, Acc: 98.61061213209894, DevSysf1: 92.50630059003174, DevUttcat_acc: 99.28448769318832
Epoch: 1, Devf1: 57.18543751330637, Acc: 98.61061213209894, DevSysf1: 92.50630059003174, DevUttcat_acc: 99.28448769318832
Epoch: 1, DevTestf1: 53.939171857823375, Acc: 98.1633010900377, DevTestSysf1: 93.42920657960099, DevTestUttcat_acc: 98.81519340225346
Epoch: 1, DevTestf1: 53.939171857823375, Acc: 98.1633010900377, DevTestSysf1: 93.42920657960099, DevTestUttcat_acc: 98.81519340225346
Epoch: 1, DevTestf1: 53.939171857823375, Acc: 98.1633010900377, DevTestSysf1: 93.42920657960099, DevTestUttcat_acc: 98.81519340225346
Epoch: 1, DevTestf1: 53.939171857823375, Acc: 98.1633010900377, DevTestSysf1: 93.42920657960099, DevTestUttcat_acc: 98.81519340225346
########################################
########################################
########################################
########################################
Epoch: 0, Devf1: 53.398263815371585, Acc: 98.47934226889595, DevSysf1: 91.60946064555131, DevUttcat_acc: 98.11104751001717
